GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: GloveData
InfoText: This data contains gesture data
NumDimensions: 6
TotalNumTrainingExamples: 10
NumberOfClasses: 1
ClassIDsAndCounters: 
1 10
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 24
TimeSeriesData: 
-0.1445	-0.0273	0.9823	-0.9043	-0.6093	0.7652
-0.1328	-0.0430	0.9979	0.8349	0.2254	0.8348
-0.1445	-0.0469	1.0018	0.9044	0.0863	0.9043
-0.1445	-0.0234	1.0096	16.9044	7.1124	-2.4348
-0.2656	0.4414	0.7479	274.0870	51.7037	30.6087
-0.1406	0.9453	0.2362	37.9827	-2.0702	17.0435
-0.1484	0.9883	0.2245	-2.2260	-0.0528	-1.1130
-0.1523	0.9844	0.2284	-3.4086	0.1559	-1.4609
-0.1563	0.9766	0.2166	-0.3477	-0.5398	0.8348
-0.1406	0.9766	0.2205	-0.1390	2.2428	0.3478
-0.1367	0.9727	0.2323	-0.7651	0.8515	0.6261
-0.1406	0.9766	0.2284	0.9740	1.6167	-0.3478
-0.1445	0.9805	0.2323	0.4175	0.5037	-0.0696
-0.1367	0.9883	0.2323	1.3218	-0.5398	1.2522
-0.1289	0.9805	0.2284	-0.0695	-1.6528	0.9043
-0.1328	0.9844	0.2323	0.6957	0.7820	0.3478
-0.1367	0.9727	0.2245	-0.7651	0.5733	-0.0696
-0.1367	0.9844	0.2323	0.3479	-1.0963	-0.2087
-0.1250	0.9766	0.2245	-0.0695	0.1559	0.9043
-0.1289	0.9844	0.2323	0.6957	-0.0528	-0.4870
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 24
TimeSeriesData: 
-0.1602	-0.0039	0.9862	1.6697	-0.2615	-0.2087
-0.1680	-0.0039	0.9979	0.0001	1.7559	0.9739
-0.1758	0.0000	0.9940	0.9740	0.9907	0.0000
-0.1953	-0.0117	1.0135	12.8001	6.4863	-2.5043
-0.3008	0.3711	0.8182	217.3914	32.1559	22.2609
-0.1289	1.0078	0.1776	44.8001	7.8080	14.3304
